Station ID,Available Docks,Total Docks,Available Bikes
72,20,39,19
79,31,33,1
82,8,27,19
83,42,62,20
116,12,39,25
119,4,19,15
120,1,19,17
127,4,31,23
128,28,30,2
143,22,24,2
144,2,19,15
146,29,39,10
150,0,31,30
151,25,33,6
152,26,29,2
153,1,4,0
157,4,23,15
161,35,35,0
164,36,47,1
167,41,45,3
168,46,47,0
173,50,51,0
174,5,30,24
195,43,45,1
212,28,28,0
216,12,23,9
217,29,39,7
223,8,33,25
228,55,55,0
229,20,23,2
232,19,23,4
236,1,39,37
237,2,39,36
238,2,31,23
239,25,31,6
241,20,23,2
242,12,23,11
243,20,31,11
244,18,31,11
245,16,23,7
248,22,23,1
249,24,27,2
251,24,27,2
252,12,33,19
253,55,55,0
254,22,31,8
257,36,39,1
258,12,23,10
259,36,39,2
260,35,35,0
261,3,27,24
262,8,24,15
264,22,27,5
265,1,35,31
266,1,24,22
267,57,57,0
268,26,27,1
270,1,23,21
274,17,31,11
275,7,19,12
276,20,25,4
278,15,19,3
279,16,36,20
280,30,31,0
281,46,57,3
282,10,27,14
284,24,43,19
285,50,51,0
289,4,19,14
291,2,20,18
293,51,55,2
295,0,24,22
296,24,35,10
297,19,27,7
301,5,37,31
302,1,23,21
303,30,31,1
304,28,33,2
305,31,33,2
306,12,17,4
307,1,31,28
308,17,27,9
309,40,41,1
310,12,36,21
311,0,31,28
312,11,31,20
313,2,23,20
314,34,39,4
315,24,29,4
316,0,0,0
317,3,27,24
319,30,33,0
320,28,39,10
321,21,27,6
322,17,31,13
323,38,39,0
324,49,51,1
325,29,35,4
326,1,27,25
327,36,39,2
328,14,23,9
330,36,39,3
331,1,27,25
332,1,24,22
334,27,31,3
335,24,27,1
336,29,36,6
337,35,37,0
339,1,24,23
340,2,27,25
341,1,19,17
342,0,29,29
343,16,23,6
344,13,23,9
345,30,35,5
346,2,27,22
347,21,35,13
349,0,23,22
350,0,28,26
351,39,39,0
353,13,27,13
354,1,23,22
355,33,43,9
356,3,23,19
357,24,27,2
358,0,36,33
359,49,53,2
360,36,39,3
361,1,43,40
362,53,57,1
363,28,49,21
364,14,27,13
365,19,31,10
366,2,33,30
368,0,39,39
369,14,35,20
372,16,27,11
373,11,19,8
376,41,43,2
377,40,45,5
379,32,42,9
380,11,39,27
382,27,36,6
383,16,39,21
385,27,29,0
386,42,43,1
387,34,39,2
388,0,0,0
389,14,27,11
390,29,31,2
391,27,31,2
392,26,35,6
393,0,31,31
394,5,32,27
396,4,25,19
397,1,27,25
398,14,31,16
399,17,27,9
400,2,15,13
401,1,42,41
402,35,39,1
403,0,31,30
405,18,40,18
406,25,34,9
407,26,37,11
408,0,23,21
409,8,19,11
410,0,35,33
411,2,23,20
412,7,29,22
414,8,24,12
415,38,42,2
416,10,31,20
417,20,23,3
418,19,23,3
419,3,23,16
420,12,23,10
421,7,19,12
422,42,55,13
423,27,27,0
426,19,30,11
427,43,47,3
428,2,31,27
430,24,27,1
432,2,29,27
433,2,39,36
434,14,27,13
435,45,47,2
436,20,27,7
437,17,24,6
438,0,41,41
439,2,39,36
440,30,32,1
441,34,35,0
442,48,51,3
443,3,23,20
445,1,42,41
446,32,39,0
447,22,23,0
448,8,31,23
449,29,31,0
450,56,59,2
453,3,39,35
454,32,35,2
455,34,39,2
456,32,35,2
457,38,39,0
458,31,31,0
459,30,49,15
460,3,23,20
461,5,39,31
462,40,47,6
465,36,39,1
466,25,35,0
467,27,34,7
468,49,49,0
469,56,57,0
470,16,37,21
471,23,31,8
472,38,41,0
473,5,38,32
474,45,47,2
476,43,47,3
477,41,59,18
478,1,31,28
479,21,31,10
480,7,27,20
481,16,25,9
482,4,39,33
483,10,35,25
484,44,44,0
485,37,39,0
486,37,39,1
487,3,36,33
490,20,59,37
491,45,53,2
492,59,61,2
494,0,0,0
495,4,25,21
496,44,47,0
497,56,59,0
498,20,30,5
499,17,36,19
500,46,52,0
501,2,43,39
502,2,30,27
503,27,29,0
504,7,45,38
505,31,36,5
507,37,39,1
508,1,24,23
509,0,36,33
513,22,27,4
514,18,52,34
515,0,3,0
516,31,31,0
517,53,59,2
518,29,39,8
519,56,61,5
520,37,39,0
522,51,51,0
523,37,51,12
524,52,55,2
525,25,39,14
526,35,39,1
527,43,59,16
528,34,39,2
529,17,41,24
530,0,24,23
531,2,39,37
532,18,43,25
533,46,46,0
534,29,31,0
536,23,29,4
537,38,39,0
539,28,31,3
540,26,30,1
545,1,26,25
546,36,38,2
2000,25,30,4
2001,5,15,10
2002,9,27,17
2003,2,39,37
2005,9,12,2
2006,45,49,1
2008,1,24,23
2009,0,35,34
2010,37,39,0
2012,32,36,3
2021,41,43,2
2022,33,33,0
2023,35,36,0
3002,12,25,11
3016,21,47,25
3041,17,24,7
3042,12,19,7
3043,16,19,3
3044,21,27,6
3046,4,19,13
3047,12,21,8
3048,12,19,6
3049,3,18,15
3050,12,21,8
3052,14,23,9
3053,21,23,2
3054,1,19,15
3055,13,23,10
3056,21,23,1
3057,3,18,14
3058,13,24,11
3059,8,19,11
3060,13,19,5
3061,13,21,7
3062,17,23,4
3063,18,20,2
3064,12,23,11
3065,10,27,17
3066,17,19,1
3067,18,27,9
3068,19,24,3
3069,9,25,16
3070,11,23,12
3071,9,19,9
3072,11,24,13
3073,25,27,2
3074,22,31,8
3075,33,33,0
3076,9,24,15
3077,15,33,17
3078,24,27,3
3080,9,21,12
3081,18,23,5
3082,23,25,2
3083,19,30,11
3085,6,25,19
3086,25,25,0
3087,30,30,0
3088,11,19,8
3090,30,31,0
3091,31,31,0
3092,24,27,1
3093,27,28,0
3094,10,18,8
3095,8,23,15
3096,23,39,13
3100,3,39,33
3101,26,27,1
3102,18,27,9
3103,27,27,0
3105,19,24,4
3106,0,19,19
3107,30,39,9
3108,0,24,23
3109,14,31,17
3110,9,27,18
3112,15,33,17
3113,25,27,2
3115,20,34,14
3116,9,35,26
3117,7,27,20
3118,14,30,16
3119,41,45,3
3120,15,20,5
3121,25,27,2
3122,6,31,25
3123,26,27,1
3124,2,27,24
3125,22,23,1
3126,32,34,2
3127,21,35,14
3128,13,23,10
3129,24,31,7
3130,30,31,0
3131,30,31,1
3132,34,35,1
3134,51,51,0
3135,36,41,5
3136,46,47,1
3137,30,31,0
3139,43,43,0
3140,0,55,54
3141,52,59,4
3142,40,41,1
3143,45,47,1
3144,46,46,0
3145,45,45,0
3146,42,47,5
3147,39,39,0
3148,31,31,0
3150,15,47,32
3151,14,43,28
3152,42,42,0
3155,0,39,0
3156,37,39,1
3157,7,27,20
3158,6,31,25
3159,17,31,12
3160,13,39,24
3161,23,59,36
3162,1,39,38
3163,40,43,2
3164,31,67,36
3165,24,51,27
3166,5,41,36
3167,19,55,19
3168,7,31,21
3169,16,39,23
3170,3,35,31
3171,17,39,22
3172,23,27,4
3173,0,39,38
3175,1,31,0
3177,8,63,53
3178,20,39,19
3179,18,23,5
3180,4,31,26
3182,12,42,30
3183,26,30,4
3184,14,14,0
3185,22,22,0
3186,38,42,4
3187,16,22,6
3188,18,18,0
3189,8,14,6
3190,10,14,4
3191,9,18,7
3192,3,22,19
3193,15,18,3
3194,16,22,6
3195,36,38,2
3196,15,18,3
3198,17,18,1
3199,10,14,4
3200,17,18,1
3201,9,18,9
3202,17,18,1
3203,9,26,17
3205,14,22,8
3206,26,26,0
3207,13,26,13
3209,10,22,12
3210,8,18,10
3211,22,22,0
3212,17,22,5
3213,19,22,3
3214,8,22,14
3216,12,18,6
3217,12,18,6
3220,18,18,0
3221,17,27,7
3223,52,54,0
3224,26,39,10
3225,1,14,13
3226,29,45,16
3231,39,39,0
3232,22,31,7
3233,39,39,0
3235,28,31,3
3236,4,33,28
3238,15,37,22
3241,0,19,19
3242,32,39,7
3243,26,29,3
3244,30,31,1
3249,11,19,6
3254,3,29,26
3255,14,19,4
3256,5,22,17
3258,29,37,6
3259,10,27,13
3260,26,31,5
3263,30,59,28
3267,2,14,12
3268,3,14,11
3269,8,14,6
3270,7,14,6
3271,4,14,10
3272,14,14,0
3273,17,18,0
3274,6,14,8
3275,4,14,9
3276,12,26,14
3277,11,14,3
3278,1,14,12
3279,5,18,12
3280,6,14,8
3281,5,14,9
3282,24,38,13
3283,16,47,31
3284,35,38,3
3285,13,43,30
3286,24,39,13
3288,1,39,36
3289,1,32,29
3290,7,35,28
3292,43,43,0
3293,11,24,13
3294,34,38,4
3295,32,59,27
3296,25,42,16
3297,18,21,3
3298,7,23,14
3300,23,25,2
3301,15,39,23
3302,16,22,6
3303,2,25,23
3304,16,27,11
3305,2,39,37
3306,13,23,10
3307,2,31,29
3308,0,27,26
3309,23,30,6
3310,6,24,17
3311,1,21,20
3312,1,39,37
3313,20,29,9
3314,19,32,12
3315,3,23,19
3316,29,47,18
3317,18,24,6
3318,12,39,27
3319,2,21,18
3320,33,49,16
3321,2,25,23
3322,7,25,18
3323,23,59,35
3324,1,25,24
3325,18,31,13
3326,12,21,9
3327,20,27,7
3328,25,39,13
3329,0,0,0
3330,3,19,16
3331,22,39,17
3332,0,0,0
3333,13,21,7
3335,6,28,22
3336,41,41,0
3337,3,23,20
3338,19,31,10
3339,2,23,21
3340,0,21,21
3341,27,41,14
3342,2,23,21
3343,1,23,19
3344,4,19,15
3345,33,35,2
3346,25,29,4
3347,4,21,16
3348,6,19,13
3349,30,30,0
3350,20,39,17
3351,1,25,24
3352,11,21,9
3353,0,3,0
3354,25,31,6
3355,25,25,0
3356,5,21,15
3357,16,35,19
3358,18,25,7
3359,35,35,0
3360,18,25,6
3361,1,23,21
3362,33,34,1
3363,31,33,1
3364,9,27,16
3365,7,27,18
3366,21,31,10
3367,39,39,0
3368,1,30,28
3369,1,29,26
3370,6,25,18
3371,2,27,25
3372,33,39,6
3373,5,27,22
3374,0,36,34
3375,35,35,0
3376,38,39,1
3377,0,25,24
3378,23,27,2
3379,27,35,8
3381,9,21,12
3382,17,31,12
3383,7,25,15
3384,15,25,10
3386,4,27,23
3387,20,25,5
3388,8,25,17
3389,0,28,26
3390,14,24,10
3391,0,25,25
3392,2,19,16
3393,6,19,12
3394,8,21,13
3395,10,19,9
3396,0,25,24
3397,2,25,23
3398,18,23,4
3399,11,24,13
3400,7,24,17
3401,4,19,15
3402,14,23,8
3403,16,31,13
3404,7,27,20
3405,10,23,13
3407,0,23,22
3408,2,27,25
3409,16,35,19
3410,7,31,24
3411,11,27,14
3412,1,18,16
3413,8,22,14
3414,33,33,0
3415,15,25,10
3416,2,4,0
3417,12,27,15
3418,30,33,0
3419,15,27,12
3420,6,21,14
3421,2,23,21
